DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,Raffles,DrawNumber
25-Jul-2018,5,30,23,20,43,19,6,7,Arthur,"PLUM45406063;AQUA02246999,BLUE62871576,GOLD14922763,GOLD17479491,GOLD36884976,GREY54576902,GREY82721112,LIME07032857,LIME69982467,LIME97004636,LIME97405518,LIME99682090,NAVY66159588,PINK19168203,PINK27648174,PINK61603365,PINK80215822,ROSE68426065,RUBY45526934,TEAL69442283",2357
21-Jul-2018,25,46,13,16,9,40,52,6,Arthur,"RUBY64307531;AQUA32588255,BLUE99471029,GREY75482676,JADE51649231,JADE53658716,NAVY06026871,NAVY24749545,NAVY25667851,NAVY81917731,NAVY85768839,PINK08128259,PINK32388039,PINK35465762,PLUM53149668,ROSE21159884,ROSE27460045,ROSE35838025,ROSE75045496,ROSE92750176,RUBY38412102",2356
18-Jul-2018,53,34,49,22,51,44,33,8,Merlin,"TEAL65355094;AQUA18687279,AQUA71353212,BLUE08514676,BLUE89778228,GOLD51360022,GOLD71205566,GREY08042118,GREY23005125,GREY40806398,JADE02558915,JADE12212434,LIME13501649,LIME22168188,NAVY44451532,NAVY67209356,NAVY80505523,ROSE12919874,TEAL59539896,TEAL71726757,TEAL72592387",2355
14-Jul-2018,26,4,41,55,13,8,58,5,Merlin,"AQUA74143806;AQUA71110631,GOLD11480239,GOLD15178035,GREY16313617,GREY48156018,GREY89401342,JADE13209995,JADE31281061,JADE68574017,JADE98430984,LIME09555650,LIME50249508,LIME82722911,PINK12863627,PINK74599519,PLUM30616105,PLUM47669396,ROSE18171646,RUBY76534015,TEAL20703839",2354
11-Jul-2018,33,25,17,46,11,8,13,7,Merlin,"AQUA54213759;AQUA41866103,BLUE24174690,BLUE37679116,BLUE37824828,GOLD70055716,GREY90566074,GREY95385991,JADE51710344,LIME05523842,LIME62072936,LIME93081958,NAVY22451182,NAVY34870811,NAVY67567891,PINK85107346,ROSE72396886,TEAL20650025,TEAL43526359,TEAL44393127,TEAL58847564",2353
07-Jul-2018,48,18,17,54,29,52,1,8,Merlin,"LIME88940464;AQUA56938409,BLUE30930697,BLUE71639956,GOLD02783680,GOLD94434909,GREY15918678,JADE18357448,JADE45235596,LIME02748321,NAVY17801139,NAVY28801944,NAVY78177641,PINK06130307,PINK08995623,PINK45295191,PINK80936535,PLUM42075830,PLUM84310654,ROSE01702288,TEAL07792466",2352
04-Jul-2018,52,8,13,46,22,58,7,7,Arthur,"PINK23141840;AQUA28516319,BLUE01127170,GOLD22965921,GREY19891889,GREY58286750,JADE56042240,LIME25187903,LIME58059447,NAVY74045359,NAVY92344849,PINK27881940,PINK61690907,PLUM17582043,PLUM81114660,RUBY08777197,RUBY45038656,RUBY69690904,RUBY82398899,TEAL17387643,TEAL54249928",2351
30-Jun-2018,28,46,45,49,32,6,50,7,Merlin,"GREY33211513;AQUA75992101,BLUE35284506,BLUE52827511,BLUE77949003,GOLD21970984,GOLD68228360,GREY25369519,GREY90326674,LIME43987900,LIME61103302,LIME92863741,LIME98458134,PLUM29016795,ROSE25573997,ROSE50502543,ROSE68233595,TEAL17566151,TEAL26847554,TEAL36659063,TEAL99931351",2350
27-Jun-2018,45,41,57,58,54,4,26,5,Merlin,"PINK69944409;AQUA33385004,AQUA95842513,BLUE38559056,BLUE98427434,GOLD33533158,GOLD64517949,GOLD78882686,GREY50443137,GREY59168341,JADE26689926,JADE65234374,LIME22954115,NAVY08150691,NAVY15663953,PINK13825079,PLUM03378071,ROSE56471327,RUBY92136552,TEAL61451728,TEAL78860314",2349
23-Jun-2018,25,31,15,1,10,47,53,6,Merlin,"BLUE33104223;AQUA18370630,AQUA36841334,AQUA69261700,AQUA94785395,BLUE50699157,GOLD17103633,GOLD93432495,GREY10874996,GREY13714164,GREY57924524,JADE29694069,NAVY47930021,NAVY81587539,PINK22236748,PLUM36784020,PLUM39012769,ROSE17487324,ROSE19309724,ROSE59330465,RUBY80103946",2348
